,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Kevin Strootman,"€ 115,385","€ 6,000,000","€ 6,000,000",M,29,Netherlands,Marseille,Ligue 1,2019-2020
1,Dimitri Payet,"€ 115,385","€ 6,000,000","€ 6,000,000",F,32,France,Marseille,Ligue 1,2019-2020
2,Florian Thauvin,"€ 97,308","€ 5,060,000","€ 5,060,000",F,26,France,Marseille,Ligue 1,2019-2020
3,Steve Mandanda,"€ 83,077","€ 4,320,000","€ 4,320,000",K,34,France,Marseille,Ligue 1,2019-2020
4,Darío Benedetto,"€ 59,615","€ 3,100,000","€ 3,100,000",F,29,Argentina,Marseille,Ligue 1,2019-2020
5,Valentin Rongier,"€ 59,615","€ 3,100,000","€ 3,100,000",M,24,France,Marseille,Ligue 1,2019-2020
6,Morgan Sanson,"€ 55,192","€ 2,870,000","€ 2,870,000",M,25,France,Marseille,Ligue 1,2019-2020
7,Boubacar Kamara,"€ 50,577","€ 2,630,000","€ 2,630,000",D,19,France,Marseille,Ligue 1,2019-2020
8,Duje Caleta-Car,"€ 46,154","€ 2,400,000","€ 2,400,000",D,22,Croatia,Marseille,Ligue 1,2019-2020
9,Grégory Sertic,"€ 41,346","€ 2,150,000","€ 2,150,000",M,30,France,Marseille,Ligue 1,2019-2020
10,Valère Germain,"€ 41,346","€ 2,150,000","€ 2,150,000",F,29,France,Marseille,Ligue 1,2019-2020
11,Bouna Sarr,"€ 36,731","€ 1,910,000","€ 1,910,000",D,27,France,Marseille,Ligue 1,2019-2020
12,Hiroki Sakai,"€ 28,846","€ 1,500,000","€ 1,500,000",D,29,Japan,Marseille,Ligue 1,2019-2020
13,Jordan Amavi,"€ 28,846","€ 1,500,000","€ 1,500,000",D,25,France,Marseille,Ligue 1,2019-2020
14,Maxime López,"€ 27,692","€ 1,440,000","€ 1,440,000",M,21,France,Marseille,Ligue 1,2019-2020
15,Yohann Pelé,"€ 18,462","€ 960,000","€ 960,000",K,36,France,Marseille,Ligue 1,2019-2020
16,Álvaro González,"€ 16,731","€ 870,000","€ 870,000",D,29,Spain,Marseille,Ligue 1,2019-2020
17,Nemanja Radonjic,"€ 15,962","€ 830,000","€ 830,000",F,23,Serbia,Marseille,Ligue 1,2019-2020
18,Saîf-Eddine Khaoui,"€ 3,846","€ 200,000","€ 200,000",F,24,Tunisia,Marseille,Ligue 1,2019-2020
19,Isaac Lihadji,"€ 1,154","€ 60,000","€ 60,000",F,17,France,Marseille,Ligue 1,2019-2020
20,Abdallah Ali Mohamed,€ 962,"€ 50,000","€ 50,000",D,20,Comoros,Marseille,Ligue 1,2019-2020
21,Florian Chabrolle,€ 962,"€ 50,000","€ 50,000",F,21,France,Marseille,Ligue 1,2019-2020
22,Simon Ngapandouetnbu,€ 769,"€ 40,000","€ 40,000",K,16,Cameroon,Marseille,Ligue 1,2019-2020
23,Marley Aké,€ 769,"€ 40,000","€ 40,000",F,18,France,Marseille,Ligue 1,2019-2020
24,Ahmadou Dia,€ 769,"€ 40,000","€ 40,000",K,19,France,Marseille,Ligue 1,2019-2020
25,Alexandre Phliponeau,€ 769,"€ 40,000","€ 40,000",M,19,France,Marseille,Ligue 1,2019-2020
26,Lucas Perrin,€ 769,"€ 40,000","€ 40,000",D,20,France,Marseille,Ligue 1,2019-2020
