,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,André Zambo Anguissa,,"£ 67,000","£ 3,484,000",DM,25,Starter,"Jun 30, 2023",3-yrs,"£ 12,067,784",Fulham,Premier League,2020-2021
1,Aleksandar Mitrovic,,"£ 60,000","£ 3,120,000",CF,26,Starter,"Jun 30, 2024",4-yrs,"£ 14,409,294",Fulham,Premier League,2020-2021
2,Ruben Loftus-Cheek,,"£ 60,000","£ 3,120,000",CM,25,Reserve,"May 31, 2021",1-yr,"£ 3,602,324",Fulham,Premier League,2020-2021
3,Alphonse Areola,,"£ 55,000","£ 2,860,000",GK,27,Starter,"Jun 30, 2021",1-yr,"£ 3,302,130",Fulham,Premier League,2020-2021
4,Joachim Andersen,,"£ 52,000","£ 2,704,000",CB,24,Starter,"Jun 30, 2021",1-yr,"£ 3,122,014",Fulham,Premier League,2020-2021
5,Kenny Tete,,"£ 51,000","£ 2,652,000",RB,25,Reserve,"Jun 30, 2024",4-yrs,"£ 12,247,900",Fulham,Premier League,2020-2021
6,Ademola Lookman,,"£ 49,500","£ 2,574,000",LW,23,Starter,"Jun 30, 2021",1-yr,"£ 2,971,917",Fulham,Premier League,2020-2021
7,Fabri,,"£ 45,000","£ 2,340,000",GK,33,Reserve,"Jun 30, 2021",1-yr,"£ 2,701,743",Fulham,Premier League,2020-2021
8,Tosin Adarabioyo,,"£ 40,500","£ 2,106,000",CB,23,Starter,"Jun 30, 2023",3-yrs,"£ 7,294,705",Fulham,Premier League,2020-2021
9,Mario Lemina,,"£ 40,000","£ 2,080,000",DM,27,Reserve,"May 31, 2021",1-yr,"£ 2,401,549",Fulham,Premier League,2020-2021
10,Tom Cairney,,"£ 40,000","£ 2,080,000",CM,30,Starter,"Jun 30, 2024",4-yrs,"£ 9,606,196",Fulham,Premier League,2020-2021
11,Ivan Cavaleiro,,"£ 37,500","£ 1,950,000",RW,27,Reserve,"Jun 30, 2024",4-yrs,"£ 9,005,809",Fulham,Premier League,2020-2021
12,Bobby Reid,,"£ 37,500","£ 1,950,000",AM,28,Starter,"Jun 30, 2023",3-yrs,"£ 6,754,357",Fulham,Premier League,2020-2021
13,Joe Bryan,,"£ 30,000","£ 1,560,000",LB,27,Reserve,"Jun 30, 2023",3-yrs,"£ 5,403,485",Fulham,Premier League,2020-2021
14,Josh Onomah,,"£ 30,000","£ 1,560,000",AM,23,Reserve,"Jun 30, 2023",3-yrs,"£ 5,403,485",Fulham,Premier League,2020-2021
15,Antonee Robinson,,"£ 27,500","£ 1,430,000",LB,23,Starter,"Jun 30, 2024",4-yrs,"£ 6,604,260",Fulham,Premier League,2020-2021
16,Tim Ream,,"£ 27,000","£ 1,404,000",CB,33,Reserve,"Jun 30, 2021",1-yr,"£ 1,621,046",Fulham,Premier League,2020-2021
17,Ola Aina,,"£ 24,000","£ 1,248,000",RB,24,Starter,"Jun 30, 2021",1-yr,"£ 1,440,929",Fulham,Premier League,2020-2021
18,Terence Kongolo,,"£ 22,000","£ 1,144,000",CB,26,Reserve,"Jun 30, 2024",4-yrs,"£ 5,283,408",Fulham,Premier League,2020-2021
19,Kevin McDonald,,"£ 22,000","£ 1,144,000",DM,32,Reserve,"Jun 30, 2021",1-yr,"£ 1,320,852",Fulham,Premier League,2020-2021
20,Michael Hector,,"£ 18,500","£ 962,000",CB,28,Reserve,"Jun 30, 2022",2-yrs,"£ 2,221,433",Fulham,Premier League,2020-2021
21,Josh Maja,,"£ 12,885","£ 670,000",CF,22,Reserve,"Jun 30, 2021",1-yr,"£ 773,576",Fulham,Premier League,2020-2021
22,Harrison Reed,,"£ 12,000","£ 624,000",CM,26,Starter,"Jun 30, 2024",4-yrs,"£ 2,881,859",Fulham,Premier League,2020-2021
23,Denis Odoi,,"£ 8,900","£ 462,800",RB,32,Reserve,"Jun 30, 2022",2-yrs,"£ 1,068,689",Fulham,Premier League,2020-2021
24,Marek Rodak,,"£ 4,500","£ 234,000",GK,24,Reserve,"Jun 30, 2024",4-yrs,"£ 1,080,697",Fulham,Premier League,2020-2021
